service,port
ca-audit-ds,8026
mtl8000-matrix,8115
vmware-fdm,8182
vvr-data,8199
tnp,8321
cybro-a-bus,8442
vp2p,8473
canon-bjnp1,8611
canon-bjnp2,8612
canon-bjnp3,8613
canon-bjnp4,8614
jmb-cds2,8901
manyone-http,8910
ibm-rsyscon,9085
net2display,9086
sqlexec,9088
sqlexec-ssl,9089
apani5,9164
ipdcesgbs,9214
teamcoherence,9222
n2h2server,9285
fjinvmgr,9396
mpidcagt,9397
vscp,9598
davsrcs,9802
apc-9952,9952
nmea-0183,10110
netiq-qcheck,10114
snmpdtls-trap,10162
axis-wimp-port,10260
MOS-lower,10540
MOS-soap,10543
nmc-disc,10810
helix,10860
rmiaux,10990
suncacao-jmxmp,11162
accuracer,12007
i-zipqd,13160
bcslogc,13216
sage-best-com2,14034
3link,15363
netserialext2,16361
nss-routing,159
metagram,99
icad-el,425
kerberos-adm,749
vnc-3,5903
whois,43
appleqtc,458
pcduo,5405
isdninfo,6106
netop-rc,6502
afs3-bos,7007
netbackup,13722
cplscrambler-in,1087
ff-annunc,1089
hpvmmcontrol,1124
winpoplanmess,1152
llsurfup-http,1183
mysql-cluster,1186
visionpyramid,1247
dproxy,1296
writesrv,1334
tn-tl-r1,1580
hp-hcip,1782
pktcable-cops,2126
vmrdp,2179
tvbus,2191
dif-port,2251
windb,2522
trusted-web,3011
arepa-cas,3030
orbix-loc-ssl,3077
winshadow,3261
satvid-datalnk,3369
satvid-datalnk,3370
satvid-datalnk,3371
nut,3493
xpanel,3737
neteh,3828
spectraport,3851
avocent-adsap,3871
igrs,3880
pktcablemmcops,3918
iss-mgmt-ssl,3995
pxc-spvr,4006
xgrid,4111
n1-fwp,4446
rlm-admin,5054
targus-getdata,5200
xmpp-bosh,5280
presence,5298
wherehoo,5859
indy,5963
rtps-dd-mt,7402
oracleas-https,7443
xprint-server,8100
fmtp,8500
xmltec-xmlmail,9091
distinct32,9998
emcrmirccd,10004
keysrvr,19283
keyshadow,19315
iphone-sync,62078
exp1,1021
tor-trans,9040
sometimes-rpc17,32777
sometimes-rpc21,32779
magenta-logic,313
mftp,349
nucleus,1463
sco-sysmgr,616
doom,666
epp,700
servexec,2021
sometimes-rpc19,32778
kis,186
ctf,84
ekshell,545
msql,1112
ingreslock,1524
lam,2040
rwhois,4321
vnc-http-2,5802
landesk-cba,38292
compaqdiag,49400
acas,62
qbikgdp,368
ansoft-lm-2,1084
issd,1600
dls-monitor,2048
kx,2111
deslogind,3006
sometimes-rpc23,32780
sybase,2638
powerchuteplus,6547
napster,6699
DragonIDSConsole,9111
osxwebadmin,16080
dsf,555
disclose,667
device,801
